Name,Elevation (m),Country,Range,Fun Fact,Image
Trivor,7577,Pakisztán,,"A Karakórum Hispar Muztagh nevű hegyláncának egyik csúcsa, a szomszédos Hispar-gleccser a sarkvidékeken kívüli egyik leghosszabb gleccser a Földön.",images/mountains/trivor.jpg
Gongga Shan,7556,Kína,,"Minya Konka néven is ismert, és környezetéből olyan meredeken emelkedik ki, hogy relatív függőleges kiemelkedése egyes mérések szerint még a Mount Everestét is felülmúlja; első megmászása 1932-ben amerikai hegymászóknak sikerült.",images/mountains/gongga-shan.jpg
Annapurna III,7555,Nepál,Himalája,"Első megmászása 1961-ben történt, Mohan Singh Kohli vezette indiai expedíció révén.",images/mountains/annapurna-iii.jpg
Skyang Kangri,7545,Pakisztán,,"A K2-től alig néhány kilométerre északra emelkedik, lépcsőzetesen kiugró gerincformája miatt angolul ""Staircase Peak"", azaz Lépcső-csúcs néven is ismert.",images/mountains/skyang-kangri.jpg
Changtse,7543,Kína,Himalája,"Neve tibeti nyelven egyszerűen ""északi csúcsot"" jelent, mivel az Everesttől északra emelkedik, azzal az Északi-nyereg köti össze.",images/mountains/changtse.jpg
Kula Kangri,7538,Kína,,"A Kína–Bhután határon emelkedő csúcsot sokáig tévesen Bhután legmagasabb hegyének hitték, míg pontosabb mérésekkel ki nem derült, hogy az egészében bhutáni területen fekvő Gangkhar Puensum még magasabb.",images/mountains/kula-kangri.jpg
Kongur Tiube,7530,Kína,,"A Kongur Tagh szomszédságában emelkedő pamíri csúcs, amely a hegység kevésbé ismert, ám alig alacsonyabb tagja.",images/mountains/kongur-tiube.jpg
Mamostong Kangri,7516,India,,"A Karakorum keleti, Rimo-hegységi részén található, rendkívül elszigetelt csúcs, amelyet elsőként egy indiai-japán közös expedíció mászott meg 1984-ben.",images/mountains/mamostong-kangri.jpg
Saser Kangri II E,7513,India,,"A Saser Muztagh láncolat kevéssé ismert csúcsa, melynek keleti előcsúcsa a mai napig az egyik legritkábban meglátogatott hétezeres a Karakorumban.",images/mountains/saser-kangri-ii-e.jpg
Muztagh Ata,7509,Kína,,A Pamír-hegység 'jéghegyek atyjának' nevezett csúcsa rendkívül enyhe lejtői miatt az egyik legkönnyebben megmászható és síelhető 7000 méter feletti hegy a világon.,images/mountains/muztagh-ata.jpg
Ismoil Somoni Peak,7495,Tádzsikisztán,,"Ez a Tádzsikisztán legmagasabb csúcsa a szovjet időkben előbb Sztálin-csúcs, majd Kommunizmus-csúcs néven volt ismert, mai nevét a függetlenné válás után az ország középkori alapítójáról, Iszmail Számánidáról kapta.",images/mountains/ismoil-somoni-peak.jpg
Saser Kangri III,7495,India,,"A Saser Muztagh harmadik nagy csúcsa, melyet a szomszédos Siachen-gleccsért folytatott indiai-pakisztáni konfliktus miatt hosszú ideig gyakorlatilag lehetetlen volt megközelíteni.",images/mountains/saser-kangri-iii.jpg
Noshaq,7492,Afganisztán,,"Afganisztán legmagasabb csúcsa a Hindu Kus hegységben emelkedik, és ez a legmagasabb hegy a világon, amely sem a Himalájában, sem a Karakorumban nem található.",images/mountains/noshaq.jpg
Pumari Chhish,7492,Pakisztán,,"A Karakorum Hispar Muztagh láncolatában emelkedő csúcsot csak 1979-ben mászták meg először, azóta is a világ egyik legritkábban megkísérelt hétezerese.",images/mountains/pumari-chhish.jpg
Passu Sar,7476,Pakisztán,,"A Karakorum hegység Batura Muztagh nevű alhegységének csúcsa, amelynek első megmászása körül máig vita van: egyes források szerint már 1978-ban, mások szerint csak 1994-ben sikerült elsőként a tetejére jutni.",images/mountains/passu-sar.jpg
Yukshin Gardan Sar,7469,Pakisztán,,"A Karakórum Hispar Muztagh hegyláncának egyik kevésbé ismert, ritkán megmászott hétezres csúcsa Pakisztánban.",images/mountains/yukshin-gardan-sar.jpg
Teram Kangri I,7462,Kína,,"A Karakórum északkeleti részén, a Sziacsen-gleccser fölött emelkedik, abban a Kasmír-térségben, amelyre India és Pakisztán is igényt tart, és amely a világ legmagasabban fekvő katonai terepének számít.",images/mountains/teram-kangri-i.jpg
Jongsong Peak,7462,India,,"A csúcs pontosan azon a hármashatáron áll, ahol Nepál, India és Kína (Tibet) találkozik, ezért geopolitikai szempontból is kiemelt jelentőségű pont a Himalájában.",images/mountains/jongsong-peak.jpg
Malubiting,7458,Pakisztán,,"A pakisztáni Karakorum hegység Rakaposhi-Batura csoportjában emelkedő, több különálló tornyú, ritkán megmászott hétezres csúcs.",images/mountains/malubiting.jpg
Gangapurna,7455,Nepál,,"Az Annapurna-hegytömb része, lábánál a Gangapurna-tavat a csúcs gleccserének olvadékvize táplálja.",images/mountains/gangapurna.jpg
Jengish Chokusu,7439,Kirgizisztán,,"Pik Pobeda, azaz Győzelem-csúcs néven is ismert, ez a Tien-san hegység legmagasabb pontja és egyben a Föld legészakabbra fekvő 7000 méter feletti csúcsa.",images/mountains/jengish-chokusu.jpg
K12,7428,Pakisztán,,"A Karakórum hegység egyik kevésbé ismert hétezrese, amely a híres K2 közvetlen szomszédságában emelkedik, mégis viszonylag ritkán mászott csúcs maradt.",images/mountains/k12.png
Yangra (Ganesh I),7422,Nepál,,"A Ganesh-hegycsoport legmagasabb csúcsa Nepálban, nevét az elefántfejű hindu istenségről, Ganésáról kapta, mivel sziluettje állítólag egy elefántfejre emlékeztet.",images/mountains/yangra-ganesh-i.jpg
Sia Kangri,7422,Pakisztán,,"A Karakorum Siachen-gleccsér fölé magasodó csúcsát 1934-ben Günter Dyhrenfurth nemzetközi expedíciója mászta meg elsőként, tömbje ma Pakisztán és Kína határán húzódik.",images/mountains/sia-kangri.jpg
Momhil Sar,7414,Pakisztán,,"A pakisztáni Karakorum Hispar Muztagh nevű vonulatában emelkedő, ritkán megmászott hétezres csúcs.",images/mountains/momhil-sar.jpg
Kabru North,7412,India,,"A Kangcsendzönga-masszívum része, ikercsúcsával, a Kabru Southszal együtt alkot impozáns gerincet a Nepál–India határvidéken.",images/mountains/kabru-north.jpg
Skil Brum,7410,Pakisztán,,"A Karakórum hegységben, a Baltoro-gleccser vidékén emelkedik, első megmászása 1957-ben egy osztrák expedíciónak sikerült, amely ugyanabban az évben a szomszédos Broad Peaket is meghódította.",images/mountains/skil-brum.jpg
Haramosh Peak,7409,Pakisztán,,"A Karakórum hegységben fekvő csúcs egy 1957-es expedíció tragédiájáról vált ismertté, amikor egy lavina brit hegymászókat temetett maga alá a hegy jeges gerincén.",images/mountains/haramosh-peak.jpg
Istor-o-Nal,7403,Pakisztán,,"A Hindukus hegység egyik legmagasabb csúcsa, amely több különálló gerincből és élből tevődik össze, ami rendkívül összetett és ritkán mászott hegymászó terepet jelent.",images/mountains/istor-o-nal.jpg
Ghent Kangri,7401,Pakisztán,,"A Karakórum hegység Saltoro-hegyláncának részeként emelkedik a Sziacsen-gleccser közelében, amely a világ egyik legmagasabban fekvő és leghidegebb katonai konfliktusövezete.",images/mountains/ghent-kangri.png
Ultar,7388,Pakisztán,,"A pakisztáni Hunza-völgy fölé meredeken toronyló csúcs, technikás és veszélyes útvonalai miatt sokáig az egyik legnehezebben megmászható hétezresnek számított, teljes megmászása csak 1996-ban sikerült.",images/mountains/ultar.jpg
Rimo I,7385,India,,A Karakorum Siachen-gleccser vidékén emelkedő csúcsot rendkívüli elszigeteltsége és a térség politikai feszültségei miatt a mai napig alig másztak meg.,images/mountains/rimo-i.jpg
Churen Himal,7385,Nepál,,"A Dhaulagiri-hegytömb nyugati részéhez tartozó csúcs, keleti előcsúcsát 1970-ben egy japán expedíció mászta meg elsőként.",images/mountains/churen-himal.jpg
Teram Kangri III,7382,India,,"A Teram Kangri hegycsoport tagja a Sziacsen-gleccser vidékén, a csoport csúcsai közül is az egyik kevésbé kutatott, ritkán megmászott hétezres.",images/mountains/teram-kangri-iii.jpg
Sherpi Kangri,7380,Pakisztán,,"A Karakorum egyik nehezen megközelíthető csúcsa, melyet 1963-ban egy olasz-pakisztáni közös expedíció mászott meg elsőként.",images/mountains/sherpi-kangri.jpg
Labuche Kang,7367,Kína,,"Tibeti csúcs a Himalájában, közel a nepáli határhoz, amelynek több, egymáshoz közeli csúcsa alkotja a masszívumot.",images/mountains/labuche-kang.jpg
Kirat Chuli,7362,Nepál,,"Sátor-csúcsként is ismert, a Kangcsendzönga-masszívum egyik tagja, amely Nepál, India és Kína határvidékén emelkedik.",images/mountains/kirat-chuli.jpg
Saraghrar,7349,Pakisztán,,"A Hindukus keleti felének legmagasabb csúcsa a pakisztáni Csitrál tartományban emelkedik, első megmászására 1959-ben egy japán expedíció vállalkozott.",images/mountains/saraghrar.jpg
Jomolhari,7326,Bhután,,"A tibeti buddhista hagyomány szerint a hegyen egy istennő lakik, és a csúcsot elsőként 1937-ben Frederick Spencer Chapman és Pasang Dawa Lama serpa mászta meg.",images/mountains/jomolhari.jpg
Chamlang,7321,Nepál,Himalája (Mahalangur Himal),"Sherpa nyelven neve ""nagy, szárnyát verő madarat"" jelent alakja miatt, és csúcsáról öt nyolcezres hegy, köztük az Everest is látható.",images/mountains/chamlang.jpg
Chongtar,7315,Pakisztán,,"A Karakórum egyik kevésbé ismert csúcsa, a hosszú és nehezen megközelíthető Sziacsen-gleccser vidékén emelkedik, amely a sarkvidékeken kívül a világ egyik leghosszabb gleccsere.",images/mountains/chongtar.jpg
Khan Tengri,7010,Kazahsztán,,"Márvány csúcsa napnyugtakor vörösen izzik, ezért a helyiek ""Vérhegynek"" is nevezik, valódi sziklaszintje 6995 méter, a fennmaradó magasságot egy örök jégsapka adja.",images/mountains/khan-tengri.jpg
Machapuchare,6993,Nepál,,"Neve nepáliul ""halfarkat"" jelent jellegzetes kétágú csúcsformája miatt, és mivel a helyiek szent hegynek tekintik, 1957 óta hivatalosan senki sem kapott engedélyt a tényleges csúcsára való feljutásra.",images/mountains/machapuchare.jpg
Aconcagua,6961,Argentína,Andok,"A nevének eredete vitatott, egyik magyarázat szerint a kecsua ""Ackon Cahuak"" (""kőóriás"") szóból ered, és 1897-ben egy svájci hegyivezető, Matthias Zurbriggen mászta meg elsőként.",images/mountains/aconcagua.jpg
Ojos del Salado,6893,Chile,,"A világ legmagasabb aktív vulkánja a chilei-argentin határon áll, csúcsa közelében egy kráter-tó fekszik, amely a Föld egyik legmagasabban elhelyezkedő tava.",images/mountains/ojos-del-salado.jpg
Ama Dablam,6812,Nepál,Himalája,"Neve sherpa nyelven ""anya nyaklánca""-t jelent: az oldalgerincek az ölelő karokra, a rajtuk csüngő gleccser pedig a sherpa nők hagyományos ékszerére emlékeztet.",images/mountains/ama-dablam.jpg
Huascarán,6768,Peru,,"Peru legmagasabb csúcsa, amelynek 1970-es földrengés kiváltotta jég- és sárlavinája elpusztította Yungay városát, és a történelem egyik legpusztítóbb hegyi katasztrófájává vált.",images/mountains/huascaran.jpg
Mount Kailash,6638,Kína,,"A hinduizmus, a buddhizmus, a dzsainizmus és a bön vallás is szent hegynek tartja, ezért tiszteletből a mai napig senki sem mászta meg a csúcsát.",images/mountains/mount-kailash.jpg
Sajama,6542,Bolívia,,"Bolívia legmagasabb, kialudt vulkánját a világon legmagasabban növő fafaj, a polylepis erdők övezik, melyek egészen 5200 méteres magasságig felkúsznak a lejtőin.",images/mountains/sajama.jpg
Illimani,6438,Bolívia,,"A La Paz városából is jól látható csúcsot az Aymara néphagyomány szent hegynek, achachilának tekinti, amely a helyiek szerint védelmezi a bolíviai fővárost.",images/mountains/illimani.jpg
Chimborazo,6263,Ecuador,Andok (vulkán),"A Föld enyhe egyenlítői kidudorodása miatt a bolygó középpontjától mérve ez a legmagasabb pont a Földön, még az Everestnél is távolabb esik.",images/mountains/chimborazo.jpg
Denali,6190,Amerikai Egyesült Államok,,"Észak-Amerika legmagasabb csúcsa, 2015-ig hivatalosan Mount McKinley néven szerepelt a térképeken, mire visszakapta eredeti, athabaszkán 'a magas' jelentésű nevét.",images/mountains/denali.jpg
Mount Logan,5959,Kanada,,"Kanada legmagasabb csúcsa, alapkerülete a legnagyobb minden nem vulkanikus eredetű hegy közül a Földön.",images/mountains/mount-logan.jpg
Alpamayo,5947,Peru,Andok (Cordillera Blanca),"1966-ban a német Alpinismus hegymászó magazin nemzetközi fotópályázatán szimmetrikus, jégcsipkés piramis alakja miatt a világ legszebb hegyének választották.",images/mountains/alpamayo.jpg
Cotopaxi,5897,Ecuador,,"A Föld egyik legmagasabb aktív vulkánja, kecsua eredetű neve egyes értelmezések szerint 'a Hold nyakát' jelenti, legutóbbi jelentős kitörése 2015-ben volt.",images/mountains/cotopaxi.jpg
Kilimanjaro,5895,Tanzánia,,"Három vulkáni kúpból áll (Kibo, Mawenzi és Shira), Afrika legmagasabb pontja és a világ legmagasabb szabadon álló hegye, csúcsi jégsapkája azonban gyorsan olvad.",images/mountains/kilimanjaro.jpg
Hkakabo Razi,5881,Mianmar,,"Mianmar és egyben Délkelet-Ázsia egyik legmagasabb csúcsaként tartják számon, bár a pontos rangsorolás a közeli Kang Karpo csúccsal folytatott vita miatt máig nem egyértelmű.",images/mountains/hkakabo-razi.jpg
El Misti,5822,Peru,,"A perui Arequipa városa fölé magasodó, szinte tökéletes kúp alakú sztratovulkán, tetején 1998-ban hegymászók inka gyermekáldozatok mumifikálódott maradványaira bukkantak.",images/mountains/el-misti.jpg
Pico Cristóbal Colón,5775,Kolumbia,,"A Sierra Nevada de Santa Marta csúcsaként ez a Föld tengerparthoz legközelebb eső magas hegye, mindössze 42 kilométerre a Karib-tenger partjától.",images/mountains/pico-cristobal-colon.jpg
Mount Elbrus,5642,Oroszország,,"Európa legmagasabb csúcsa, egy alvó vulkán a Kaukázusban, amely a hegymászók által áhított „Hét csúcs” kihívás egyik állomása.",images/mountains/mount-elbrus.jpg
Pico de Orizaba,5636,Mexikó,,"Az aztékok Citlaltépetlnek, azaz ""csillag-hegynek"" hívták ezt a Mexikó legmagasabb pontját adó, még mindig aktívnak számító sztratovulkánt.",images/mountains/pico-de-orizaba.jpg
Damavand,5610,Irán,,"Irán és egyben a Közel-Kelet legmagasabb pontja, alvó sztratovulkán, amely a perzsa mitológiában a legyőzött Zahhák démon fogva tartásának helyszíne.",images/mountains/damavand.jpg
Popocatépetl,5393,Mexikó,,"Neve nahuatl nyelven ""füstölgő hegyet"" jelent, és a mai napig rendszeresen bocsát ki hamut és gőzt, ezért folyamatos megfigyelés alatt áll.",images/mountains/popocatepetl.jpg
Iztaccíhuatl,5230,Mexikó,,"Neve nahuatl nyelven fehér asszonyt jelent, mivel sziluettje egy hátán fekvő nő alakját formázza, és az azték legenda szerint a szomszédos Popocatépetl vulkán szerelmese volt.",images/mountains/iztaccihuatl.jpg
Shkhara,5203,Grúzia,,"Grúzia legmagasabb csúcsa a Kaukázus főgerincén emelkedik, tömbje Grúzia és Oroszország határán húzódik, teteje már orosz területen fekszik.",images/mountains/shkhara.jpg
Mount Kenya,5199,Kenya,,"Afrika második legmagasabb hegye a Kilimandzsáró után, egy kihunyt vulkán, amelyről magát Kenya országa is a nevét kapta.",images/mountains/mount-kenya.jpg
Mount Ararat,5137,Törökország,,"Törökország legmagasabb hegye, a Biblia szerint itt kötött ki Noé bárkája az özönvíz után, ezért jeges csúcsán a mai napig expedíciók kutatnak a bárka nyomai után.",images/mountains/mount-ararat.jpg
Margherita Peak,5110,Uganda,,"A Ruwenzori-hegység, azaz a ""Hold hegyei"" legmagasabb pontja, amelyet Savoyai Margit olasz királynéról neveztek el, és amelyet az egyenlítő közelsége ellenére ma is gleccserek borítanak.",images/mountains/margherita-peak.jpg
Mount Stanley,5109,Kongói Demokratikus Köztársaság,,"A Rwenzori-hegység legmagasabb csúcsa, amelynek Margherita nevű tetőpontján az egyenlítő közelében, trópusi éghajlaton is örök hó és gleccser található; nevét Henry Morton Stanley felfedezőről kapta.",images/mountains/mount-stanley.jpg
Pico Bolívar,4978,Venezuela,,"Venezuela legmagasabb csúcsát Simón Bolívar szabadságharcosról nevezték el, tetejére 2004-ig egy bronz mellszobrot is felvittek, amit a világ egyik legmagasabban fekvő felvonója, a mérida-i kabinos kötélpálya közelít meg.",images/mountains/pico-bolivar.jpg
Vinson Massif,4892,Antarktisz,,"Az Antarktisz legmagasabb csúcsa az Ellsworth-hegységben, első megmászása 1966-ban egy amerikai expedíciónak sikerült.",images/mountains/vinson-massif.jpg
Puncak Jaya,4884,Indonézia,,"Óceánia legmagasabb csúcsa, más néven Carstensz-piramis, a hét kontinens hét csúcsa listán is szerepel, és bár az egyenlítőhöz közel fekszik, tetején egykor gleccser is volt, mely mára szinte teljesen elolvadt.",images/mountains/puncak-jaya.jpg
Mont Blanc,4808,Franciaország,,"Az Alpok és Nyugat-Európa legmagasabb csúcsa, első megmászása 1786-ban Jacques Balmat és Michel-Gabriel Paccard nevéhez fűződik, amit sokan a modern hegymászás születésének pillanataként tartanak számon.",images/mountains/mont-blanc.jpg
Klyuchevskaya Sopka,4750,Oroszország,,"Eurázsia legmagasabb aktív vulkánja Kamcsatkán, amely szinte folyamatosan füstöl, és minden nagyobb kitörés után egy kicsit magasabb lesz.",images/mountains/klyuchevskaya-sopka.jpg
Khazret Sultan,4643,Üzbegisztán,,"Üzbegisztán legmagasabb pontja a Hiszár-hegységben található, a Pamír-Alaj hegyrendszer részeként.",images/mountains/khazret-sultan.jpg
Dufourspitze,4634,Svájc,,"Svájc legmagasabb csúcsa a Monte Rosa-tömbben, nevét Guillaume-Henri Dufour svájci tábornokról és térképészről kapta.",images/mountains/dufourspitze.jpg
Ras Dashen,4550,Etiópia,,"Etiópia legmagasabb csúcsa az UNESCO világörökség részét képező Szimien-hegységben található, ahol a világon máshol sehol elő nem forduló gelada páviánok élnek.",images/mountains/ras-dashen.jpg
Dom,4545,Svájc,,"A Mischabel-hegylánc legmagasabb csúcsa, ez a legmagasabb hegy, amely teljes egészében Svájc területén, az országhatáron kívül fekszik.",images/mountains/dom.jpg
Mount Wilhelm,4509,Pápua Új-Guinea,,"Pápua Új-Guinea legmagasabb csúcsát II. Vilmos német császárról nevezték el, és bár az egyenlítőhöz közel fekszik, télen időnként hó is hullik a tetejére.",images/mountains/mount-wilhelm.jpg
Mount Karisimbi,4507,Ruanda,,"A Virunga-hegylánc legmagasabb vulkánja Ruanda és Kongó határán, lejtőin élnek a világ utolsó vadon élő hegyi gorillái.",images/mountains/mount-karisimbi.jpg
Weisshorn,4506,Svájc,,"A Pennini-Alpok egyik csúcsa Svájcban, szabályos piramisformája miatt gyakran nevezik az Alpok egyik legszebb, legarányosabb hegyének.",images/mountains/weisshorn.jpg
